FIPS,geoid,TotalResidentialAddresses,VacantResidentialAddresses,AverageDaysAddressesVacant,vac_36_res
19101,19101090400,2571,131,1108.15,45
19111,19111490400,1297,0,0,0
19057,19057000700,1518,47,993.66,16
19045,19045001000,1825,0,0,0
19113,19113001600,2550,76,879.63,12
19103,19103001802,3477,28,903.18,7
19103,19103001801,2752,95,3286.6,82
19113,19113001003,4673,332,582.8,40
19095,19095960400,2442,0,0,0
19061,19061010600,1465,0,0,0
19029,19029190200,1169,0,0,0
19145,19145490300,1388,112,1601.29,44
19055,19055950100,1628,0,0,0
19113,19113010200,1995,0,0,0
19155,19155021702,1033,0,0,0
19153,19153004900,2163,62,2189.82,50
19069,19069360100,1648,0,0,0
19013,19013001100,1213,19,1742,9
19063,19063070200,857,0,0,0
19153,19153000803,1893,57,819.95,11
19153,19153005000,1363,133,1499.89,70
19193,19193000900,878,19,2495.89,11
19163,19163012400,671,44,1657.27,21
19103,19103001300,1381,14,1058.86,10
19113,19113010600,2796,22,436.36,3
19113,19113002400,1927,99,673.7,25
19169,19169000800,96,0,0,0
19117,19117950300,988,49,2302.22,31
19083,19083480400,1418,0,0,0
19077,19077950100,2552,0,0,0
19153,19153011028,2903,5,717.4,1
19175,19175190100,1182,0,0,0
19153,19153002700,2813,127,1233.96,87
19127,19127950100,1396,0,0,0
19153,19153011112,1955,18,1731.06,8
19083,19083480100,1364,100,2195.3,62
19079,19079960300,1489,134,863.49,35
19109,19109950100,1344,0,0,0
19037,19037070100,1464,0,0,0
19017,19017004400,1283,0,0,0
19049,19049050700,2857,66,1119.62,13
19153,19153010600,5338,99,1481.64,39
19099,19099040200,1890,17,2490,12
19169,19169000300,1618,11,970.73,3
19125,19125030700,1346,0,0,0
19033,19033950102,2236,188,1812.21,108
19189,19189680100,2033,66,2968.52,52
19033,19033950600,1050,0,0,0
19153,19153000500,1858,105,1062.65,35
19033,19033950800,3026,115,2001.7,46
19153,19153004603,1495,57,1340.86,21
19149,19149970100,3067,49,1312.02,16
19041,19041080100,967,0,0,0
19193,19193002000,2248,52,1427.12,17
19155,19155031200,1594,38,2015,19
19057,19057000800,2044,54,1039.37,19
19115,19115450300,2166,90,2067.81,38
19123,19123950400,1334,53,1947.58,33
19113,19113001900,1193,212,1752.34,115
19113,19113002900,2216,70,914.17,15
19113,19113002500,1502,110,2076.2,65
19163,19163012702,2266,72,447.72,11
19163,19163012901,2650,19,484.26,0
19061,19061001102,3138,68,2439.91,40
19061,19061010400,1845,0,0,0
19097,19097950600,1150,67,2563.94,54
19005,19005960300,2115,133,2068.44,81
19153,19153000704,1409,27,1742.67,18
19153,19153001100,2166,151,1355.19,80
19065,19065080400,1416,179,1311.26,75
19013,19013001301,1984,137,628.58,22
19153,19153010212,1711,7,1686.43,3
19169,19169000700,1752,42,1223.88,13
19153,19153010101,3025,0,0,0
19015,19015020500,2351,44,2055.34,25
19127,19127950200,1455,0,0,0
19153,19153005100,7767,234,1019.55,57
19153,19153002800,1658,72,1072.14,28
19079,19079960200,1698,0,0,0
19049,19049050805,2349,0,0,0
19153,19153003001,960,64,1305.63,50
19153,19153003100,794,8,547.63,2
19073,19073080200,1241,100,1752.45,60
19013,19013002604,2003,49,1646.33,22
19017,19017004500,1014,7,14,0
19013,19013001400,1987,48,1619.56,25
19173,19173180100,1215,31,1936.55,18
19067,19067480400,1445,101,1484.78,35
19065,19065080500,1742,132,1551.77,58
19013,19013001600,1282,52,622.08,12
19015,19015020200,2295,152,1242.77,68
19181,19181020700,3346,113,1316.87,83
19169,19169001100,3094,54,714.59,13
19153,19153001700,1082,73,820.38,24
19033,19033950700,2369,142,1389.18,57
19153,19153011203,1477,0,0,0
19153,19153010407,1729,7,1045.29,2
19167,19167070100,1728,0,0,0
19035,19035080200,1285,0,0,0
19133,19133960100,1259,97,2612.01,65
19155,19155021502,1588,0,0,0
19167,19167070600,3747,35,1724.57,17
19093,19093090300,1311,136,1646.96,70
19161,19161080300,1508,0,0,0
19139,19139050700,3203,81,1295.54,27
19183,19183960500,1377,1,6,0
19139,19139050300,2177,67,1184.1,25
19103,19103001200,949,4,1535,1
19179,19179960300,1887,58,1136.5,21
19135,19135070100,1457,61,2747.87,50
19011,19011960400,1511,0,0,0
19179,19179960900,1378,149,1267.67,58
19097,19097950100,1473,0,0,0
19061,19061000801,1868,77,1922.74,45
19061,19061010202,1915,0,0,0
19137,19137960300,1745,210,2443.78,128
19165,19165960200,1540,0,0,0
19043,19043070500,975,0,0,0
19127,19127950500,1680,215,1313.88,117
19111,19111490300,1131,0,0,0
19061,19061010101,936,27,927.3,5
19061,19061001205,2003,56,890.04,20
19103,19103000600,2155,50,1120.5,17
19049,19049050811,8471,0,0,0
19153,19153000703,1822,36,1209.94,17
19153,19153000701,1530,25,1582.2,12
19171,19171290300,1324,0,0,0
19197,19197680200,785,0,0,0
19013,19013002304,1130,86,634.65,6
19019,19019950500,1866,94,1894.77,44
19151,19151780300,1076,0,0,0
19067,19067480500,2454,136,1139.23,36
19013,19013002700,1827,4,1107.5,3
19153,19153010102,4635,0,0,0
19153,19153011600,3,0,0,0
19033,19033951400,1634,46,883.04,6
19109,19109950500,1810,94,1458.03,27
19131,19131560300,1960,124,1780.8,48
19081,19081270100,1840,49,1421.12,22
19153,19153000103,1010,63,826.43,4
19193,19193003200,2265,0,0,0
19063,19063070300,1565,98,1190.78,40
19155,19155031602,1184,4,1097,1
19155,19155030200,1539,90,1684.88,62
19111,19111490500,1804,0,0,0
19057,19057001000,2318,0,0,0
19139,19139050600,2425,40,825.95,5
19057,19057000300,1875,141,1118.65,60
19163,19163012602,1799,69,1998.48,44
19163,19163010600,1797,252,2226.99,202
19113,19113000206,3776,0,0,0
19103,19103000302,2922,21,1896.71,12
19113,19113000600,1930,110,890.06,27
19163,19163012802,2858,96,725.35,21
19163,19163012000,1546,55,1775.73,31
19145,19145490200,1250,92,1656.42,29
19043,19043070400,1702,0,0,0
19071,19071970100,1103,0,0,0
19065,19065080700,1306,0,0,0
19061,19061000300,889,34,2467,19
19043,19043070100,1812,0,0,0
19009,19009070100,1024,0,0,0
19065,19065080100,1327,150,2064.53,86
19065,19065080600,1312,0,0,0
19001,19001960200,916,0,0,0
19193,19193000200,3370,66,1257.73,14
19017,19017004000,661,22,1160.05,7
19013,19013001800,660,69,1770.96,47
19139,19139051000,1376,110,1254.67,40
19163,19163012100,1618,50,888.38,22
19099,19099040100,1853,0,0,0
19083,19083480300,1710,75,2024.39,35
19107,19107080200,1259,0,0,0
19171,19171290600,1272,0,0,0
19037,19037070300,1380,0,0,0
19075,19075960200,1341,0,0,0
19025,19025950300,941,0,0,0
19091,19091970300,1465,104,762.97,26
19173,19173180200,1138,127,2081.63,80
19063,19063070100,1069,0,0,0
19175,19175190400,1835,82,1576.1,37
19169,19169001302,3102,4,1472.5,2
19009,19009070300,940,0,0,0
19153,19153010706,4450,25,672.44,3
19157,19157370200,1633,0,0,0
19153,19153000201,1219,30,853.5,8
19081,19081270400,1120,0,0,0
19153,19153010500,2760,92,1598.33,53
19033,19033950900,1299,0,0,0
19181,19181020100,1531,4,461.75,0
19153,19153001900,1836,65,900.75,15
19069,19069360200,2143,131,2572.79,76
19187,19187000200,1768,46,948.98,16
19187,19187000700,999,151,2048.88,87
19153,19153005300,1113,67,1693.15,32
19153,19153011206,1725,12,1422.92,6
19153,19153004800,1147,120,652.44,30
19141,19141490200,1862,0,0,0
19119,19119950100,1332,0,0,0
19193,19193003100,2010,0,0,0
19155,19155030800,1338,38,1628.39,20
19155,19155030700,1167,129,2130.7,84
19133,19133960400,1004,0,0,0
19047,19047070300,1119,0,0,0
19021,19021960600,1692,72,1405.86,33
19025,19025950400,1197,108,1939.44,54
19087,19087970400,2163,73,1459.51,39
19163,19163010102,3611,0,0,0
19163,19163012200,967,59,998.81,16
19057,19057000400,1824,219,1696.7,134
19163,19163011300,1284,137,1841.15,89
19107,19107080300,1303,40,1753.33,18
19045,19045001200,1771,0,0,0
19111,19111490800,1287,137,1824.41,63
19031,19031450200,1684,0,0,0
19179,19179961100,1533,0,0,0
19113,19113002200,1614,120,1664.14,53
19179,19179960600,1469,158,1502.34,64
19071,19071970300,1308,15,2186.6,7
19129,19129040201,1100,0,0,0
19097,19097950400,1779,78,1565.13,35
19129,19129040100,1451,0,0,0
19193,19193000600,1221,33,1425.39,10
19155,19155031100,1160,62,1497.42,29
19045,19045000700,1899,337,2547.49,264
19123,19123950700,1755,65,2665.22,44
19057,19057000600,1921,79,1305.61,31
19153,19153000702,1457,40,1015.93,7
19193,19193001000,896,39,2141.9,28
19061,19061001101,1487,16,1135.81,6
19153,19153011701,3649,0,0,0
19049,19049050100,3904,1,6,0
19125,19125030300,1088,73,2849.45,61
19153,19153001000,2154,69,1312.64,35
19153,19153011113,1421,0,0,0
19157,19157370500,1509,0,0,0
19161,19161080100,1385,0,0,0
19013,19013003002,1905,0,0,0
