"GEOID","TypicalRenterCosts","TypicalOwnerCosts","AgingHousingStock","AffordabilityIndex","HousingPriceDispersion","CostBurdenOwner","CostBurdenRenter","HomeOwnerShipRate","RentalUnitRatio","MultiFamShare"
19091,586,649,35.6,2.33403154789894,2.47109826589595,13.6,35.9,74.9,0.268414779499404,6.5
19093,562,594,43.3,2.43247737368459,2.77346278317152,4.1,41.2,75.6,0.283647375504711,8.1
19095,615,950,30.8,3.30943188086045,2.40529100529101,12.3,34.5,80.4,0.221938007824255,9.4
19097,616,727,29.4,2.71743760115853,2.74278544542033,11.2,40.5,80.9,0.207136746914335,6.2
19099,734,862,24.7,2.90536391165322,2.35778781038375,11.4,46,74.8,0.273149412728763,9.3
19101,756,741,28.2,3.17937361594432,2.62110960757781,13.7,50.5,69.6,0.315098468271335,8.1
19103,984,1266,11.2,4.56904310526417,2.12777444511098,9.4,59.3,58.6,0.450670196922059,29.2
19105,659,868,31.4,3.05977488799038,2.48805460750853,8.6,44.9,78.6,0.232103591497679,7.5
19107,711,742,46.6,2.24792923011944,2.75697865353038,16.3,52.3,78.3,0.231639722863741,5.4
19109,710,640,33,2.4801632282929,3.45229681978799,7.9,54.6,74.4,0.272851711026616,10.5
19111,711,731,39.4,2.21836463241427,2.86774193548387,11.3,44.5,74,0.291114520853676,9.1
19113,778,1088,15.1,3.17397965196213,2.04163126593033,8.4,46.9,74.3,0.287599667046351,16.2
19115,647,753,36.1,2.41101155229817,2.51953690303907,11.4,21.4,76.5,0.253971908818789,5.5
19117,659,689,34.2,2.07924070190928,3.32730923694779,10.7,49,76.5,0.243410435718128,9.2
19119,714,818,26.3,3.39401875475205,2.98419864559819,6.6,28.6,85.4,0.18049205312432,9.2
19121,827,1200,28.2,3.48444411265187,2.15091575091575,11.5,45.7,79.4,0.210605831696631,10.9
19123,673,727,35.3,2.60545048261881,2.47967479674797,10.7,39.4,68,0.340672851235051,10.2
19125,721,913,21.3,3.23892373052802,2.69848156182213,11.5,34.7,73.7,0.272613065326633,12.7
19127,725,838,32.7,2.3278110994671,2.26933701657459,10.7,42.9,71.9,0.300363919937614,10.3
19129,837,1052,31.6,3.37997765617012,2.25142857142857,10.1,48.7,79,0.223079750091878,3.4
19131,610,708,37.8,2.47680566127008,2.78489116517286,9.1,30.7,80.1,0.198568872987478,7.4
19133,635,627,41.8,2.05982651683336,3.06355140186916,8.5,54.4,73.7,0.2820962888666,8.6
19135,598,743,25.3,2.47036860157166,3.24068767908309,13.3,41.8,78.4,0.275979031760715,7.1
19137,656,616,43.6,2.05028362657437,2.4759535655058,7.5,38.3,72.3,0.29627148917169,7.1
19139,829,867,32.4,3.02171438773461,2.52112676056338,11.1,42.3,74.4,0.291603699449918,10
19141,576,708,30.1,2.48828601382143,2.7403156384505,10.5,42.2,74.6,0.290327978580991,11.4
19143,672,604,33.7,2.20890880819537,3.25423728813559,5.5,30.9,77,0.253003003003003,4.2
19145,663,643,37.1,2.29939891231753,2.70608108108108,10.9,41.1,70.3,0.308855628313065,10.5
19147,545,703,31.5,2.58330123266564,2.92709984152139,9.9,30.4,75.6,0.273706896551724,9.3
19149,714,868,28.7,3.5804671617641,2.5067264573991,10.6,24.9,76.7,0.247912215964265,8.6
19151,630,557,40.1,1.96172363409902,3.42922374429224,11.9,33.7,76.3,0.260313399424368,4.6
19153,938,1206,14.9,3.6609752345793,2.07534246575342,11.7,44.8,67.1,0.354349247874428,25.7
19155,850,967,27.7,3.17356931093343,2.33470648815654,13.1,49.3,68.8,0.327322033898305,14.1
