"","fmr0","fmr1","fmr2","fmr3","fmr4","State","county","Year"
"270",375,405,534,654,767,19,"143","2012"
"271",345,406,534,637,656,19,"145","2012"
"272",375,405,534,654,767,19,"147","2012"
"273",484,485,584,787,810,19,"149","2012"
"274",423,424,534,686,718,19,"151","2012"
"275",502,599,731,936,1043,19,"153","2012"
"276",529,602,751,1003,1031,19,"155","2012"
"277",370,432,568,726,748,19,"157","2012"
"278",370,412,542,661,739,19,"159","2012"
"279",399,410,534,702,735,19,"161","2012"
"280",467,521,656,836,872,19,"163","2012"
"281",348,425,534,655,705,19,"165","2012"
"282",434,440,534,722,743,19,"167","2012"
"283",557,587,726,1039,1229,19,"169","2012"
"284",425,449,557,729,752,19,"171","2012"
"285",365,406,534,651,728,19,"173","2012"
"286",400,445,585,714,798,19,"175","2012"
"287",365,406,534,651,728,19,"177","2012"
"288",407,473,624,744,776,19,"179","2012"
"289",502,599,731,936,1043,19,"181","2012"
"290",370,446,567,723,869,19,"183","2012"
"291",365,406,534,651,728,19,"185","2012"
"292",404,411,534,739,763,19,"187","2012"
"293",386,425,534,682,716,19,"189","2012"
"294",347,406,534,694,940,19,"191","2012"
"295",407,478,627,789,813,19,"193","2012"
"296",386,425,534,682,716,19,"195","2012"
"297",423,424,534,686,718,19,"197","2012"
"298",394,429,581,810,813,19,"1","2013"
"299",410,447,605,753,836,19,"3","2013"
"300",383,477,565,833,864,19,"5","2013"
"301",415,418,565,716,755,19,"7","2013"
"302",383,455,565,704,933,19,"9","2013"
"303",430,478,591,767,942,19,"11","2013"
"304",436,506,635,844,1125,19,"13","2013"
"305",371,460,623,817,968,19,"15","2013"
"306",417,449,607,830,833,19,"17","2013"
"307",428,431,573,742,930,19,"19","2013"
"308",402,468,594,748,864,19,"21","2013"
"309",383,477,565,833,862,19,"23","2013"
"310",383,433,565,765,768,19,"25","2013"
"311",447,449,565,704,807,19,"27","2013"
"312",377,462,565,765,813,19,"29","2013"
"313",418,456,617,799,870,19,"31","2013"
"314",380,472,639,835,854,19,"33","2013"
"315",383,424,565,704,755,19,"35","2013"
"316",383,459,565,833,835,19,"37","2013"
"317",385,421,569,709,1008,19,"39","2013"
"318",383,418,565,763,916,19,"41","2013"
"319",400,477,565,796,913,19,"43","2013"
"320",363,468,586,743,932,19,"45","2013"
"321",383,477,565,729,1001,19,"47","2013"
"322",503,605,750,1044,1112,19,"49","2013"
"323",383,454,566,705,782,19,"51","2013"
"324",421,443,565,833,1001,19,"53","2013"
"325",456,463,565,822,842,19,"55","2013"
"326",487,490,663,826,892,19,"57","2013"
"327",383,418,565,795,801,19,"59","2013"
"328",397,491,637,854,992,19,"61","2013"
"329",402,471,594,751,820,19,"63","2013"
"330",352,475,565,726,764,19,"65","2013"
"331",383,437,565,796,799,19,"67","2013"
"332",415,418,565,789,966,19,"69","2013"
"333",383,458,565,786,862,19,"71","2013"
"334",383,418,565,704,1001,19,"73","2013"
"335",436,506,635,844,1125,19,"75","2013"
"336",503,605,750,1044,1112,19,"77","2013"
"337",420,458,620,772,1013,19,"79","2013"
"338",384,419,567,706,825,19,"81","2013"
"339",383,435,565,706,755,19,"83","2013"
"340",493,659,828,1110,1233,19,"85","2013"
"341",388,461,572,793,796,19,"87","2013"
"342",383,418,565,704,755,19,"89","2013"
"343",383,418,565,797,800,19,"91","2013"
"344",383,428,565,750,755,19,"93","2013"
"345",383,445,565,833,970,19,"95","2013"
"346",383,477,565,833,835,19,"97","2013"
"347",364,467,611,776,857,19,"99","2013"
"348",442,487,652,812,871,19,"101","2013"
"349",559,670,853,1257,1511,19,"103","2013"
"350",368,457,618,851,966,19,"105","2013"
"351",383,429,565,786,789,19,"107","2013"
"352",383,418,565,751,791,19,"109","2013"
"353",394,429,581,797,800,19,"111","2013"
"354",431,536,725,982,1093,19,"113","2013"
"355",415,458,612,762,945,19,"115","2013"
"356",383,418,565,743,949,19,"117","2013"
"357",383,471,565,704,967,19,"119","2013"
"358",503,605,750,1044,1112,19,"121","2013"
"359",442,445,573,733,881,19,"123","2013"
"360",521,530,645,803,1142,19,"125","2013"
"361",413,479,589,760,837,19,"127","2013"
"362",493,659,828,1110,1233,19,"129","2013"
"363",383,477,565,833,835,19,"131","2013"
"364",383,418,565,755,757,19,"133","2013"
"365",383,418,565,704,780,19,"135","2013"
"366",415,418,565,822,825,19,"137","2013"
"367",434,473,640,878,948,19,"139","2013"
"368",419,460,565,818,821,19,"141","2013"
"369",383,461,565,704,755,19,"143","2013"
"370",383,441,565,769,772,19,"145","2013"
"371",383,475,565,833,1001,19,"147","2013"
"372",405,475,598,828,831,19,"149","2013"
